DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2013-Q4,11.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2014-Q4,10.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2015-Q4,8.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2016-Q4,7.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2017-Q4,6.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2018-Q4,6.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2019-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2020-Q4,9.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2021-Q4,7.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2022-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2023-Q4,7.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2004-Q4,11.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2005-Q4,8.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2006-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2007-Q4,5.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2008-Q4,10.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2009-Q4,19.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2010-Q4,17.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2011-Q4,15.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2012-Q4,13.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2013-Q4,11.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2014-Q4,10.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2015-Q4,9.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2016-Q4,9.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2017-Q4,8.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2018-Q4,6.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2019-Q4,6.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2020-Q4,7.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2021-Q4,7.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2022-Q4,6.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LV,2023-Q4,6.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2004-Q4,6.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2005-Q4,7.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2006-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2007-Q4,6.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2008-Q4,6.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2009-Q4,7.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2010-Q4,7.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2011-Q4,6.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2012-Q4,6.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2013-Q4,6.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2014-Q4,5.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2015-Q4,5.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2016-Q4,4.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2017-Q4,4.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2018-Q4,3.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2019-Q4,4.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2020-Q4,5.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2021-Q4,3.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2022-Q4,3.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,MT,2023-Q4,2.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2004-Q4,18.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2005-Q4,16.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2006-Q4,12.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2007-Q4,8.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2008-Q4,6.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2009-Q4,8.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2010-Q4,9.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2011-Q4,9.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2012-Q4,10.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2013-Q4,9.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2014-Q4,8.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2015-Q4,6.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2016-Q4,5.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2017-Q4,4.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2018-Q4,3.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2019-Q4,2.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2020-Q4,3.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2021-Q4,2.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2022-Q4,2.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,PL,2023-Q4,3.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2004-Q4,6.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2005-Q4,7.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2006-Q4,5.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2007-Q4,4.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2008-Q4,4.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2009-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2010-Q4,7.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2011-Q4,8.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2012-Q4,9.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2013-Q4,9.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2014-Q4,9.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2015-Q4,8.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2016-Q4,8.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2017-Q4,5.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2018-Q4,4.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2019-Q4,4.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2020-Q4,5.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2021-Q4,4.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2022-Q4,3.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SI,2023-Q4,3.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2004-Q4,17.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2005-Q4,15.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2006-Q4,12.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2007-Q4,10.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2008-Q4,8.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2009-Q4,13.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2010-Q4,13.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2011-Q4,14.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2012-Q4,14.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2013-Q4,14.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2014-Q4,12.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2015-Q4,11.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2016-Q4,9.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2017-Q4,7.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2018-Q4,6.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2019-Q4,5.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2020-Q4,7.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2021-Q4,6.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2022-Q4,6.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,SK,2023-Q4,5.6,
